? nanashi_mumei 6.2k	
? shuten_douji_(fate) 6.2k
? may_(pokemon) 6.2k	
? kitakami_(kancolle) 6.1k	
? gilgamesh_(fate) 6.1k	
? soga_no_tojiko 6.1k	
? takanashi_kiara 6.1k	
? mika_(blue_archive) 6.1k	
? rosa_(pokemon) 6.0k	
? astolfo_(fate) 6.0k	
? frieren 6.0k	
? kurodani_yamame 6.0k	
? kasodani_kyouko 6.0k	
? tokoyami_towa 6.0k	
? miyako_yoshika 6.0k	
? matou_sakura 6.0k	
? kumoi_ichirin 6.0k	
? furina_(genshin_impact) 6.0k	
? ooyodo_(kancolle) 5.9k	
? venti_(genshin_impact) 5.9k	
? rensouhou-chan 5.9k	
? ouro_kronii 5.9k
? marnie_(pokemon) 5.9k	
? darjeeling_(girls_und_panzer) 5.9k	
? mythra_(xenoblade) 5.9k	
? clownpiece 5.8k	
? hoshii_miki 5.8k	
? kirby 5.8k	
? gawr_gura_(1st_costume) 5.7k	
? hilda_(pokemon) 5.7k	
? aerith_gainsborough 5.7k	
? prinz_eugen_(kancolle) 5.7k	
? princess_peach 5.7k	
? samus_aran 5.7k	
? kamisato_ayaka 5.7k	
? cu_chulainn_(fate) 5.7k	
? watson_amelia 5.7k	
? kijin_seija 5.7k	
? klee_(genshin_impact) 5.7k	
? texas_(arknights) 5.7k	
? asashio_(kancolle) 5.6k	
? hiiragi_kagami 5.6k
? hoshino_(blue_archive) 5.6k	
? mutsu_(kancolle) 5.6k	
? kotobuki_tsumugi 5.6k	
? mordred_(fate) 5.6k	
? aris_(blue_archive) 5.5k	
? kaban_(kemono_friends) 5.5k	
? nishizumi_maho 5.5k	
? female_admiral_(kancolle) 5.5k	
? rice_shower_(umamusume) 5.5k	
? tartaglia_(genshin_impact) 5.5k	
? dio_brando 5.5k	
? tatsuta_(kancolle) 5.5k	
? sekibanki 5.4k	
? itsumi_erika 5.4k	
? mejiro_mcqueen_(umamusume) 5.4k	
? emiya_shirou 5.4k	
? meiko_(vocaloid) 5.4k	
? minamoto_no_raikou_(fate) 5.4k	
? aki_minoriko 5.4k	
? scaramouche_(genshin_impact) 5.4k
? paimon_(genshin_impact) 5.4k	
? koharu_(blue_archive) 5.4k	
? c.c. 5.3k	
? hieda_no_akyuu 5.3k	
? junko_(touhou) 5.3k	
? eula_(genshin_impact) 5.3k	
? minami_kotori 5.3k	
? nahida_(genshin_impact) 5.3k	
? sakura_miko 5.3k	
? izumi_konata 5.3k	
? archer_(fate) 5.2k	
? sendai_(kancolle) 5.2k	
? tsukino_usagi 5.2k	
? bismarck_(kancolle) 5.2k	
? daiwa_scarlet_(umamusume) 5.2k	
? musashi_(kancolle) 5.2k	
? anchovy_(girls_und_panzer) 5.2k	
? ooi_(kancolle) 5.2k	
? shirogane_noel 5.2k	
? shenhe_(genshin_impact) 5.2k
? gloria_(pokemon) 5.1k	
? nishikigi_chisato 5.1k	
? akashi_(kancolle) 5.1k	
? caesar_anthonio_zeppeli 5.1k	
? oma_kokichi 5.1k	
? takao_(kancolle) 5.1k	
? asuna_(sao) 5.1k	
? amami_haruka 5.0k	
? hk416_(girls'_frontline) 5.0k	
? sukuna_shinmyoumaru 5.0k	
? gold_ship_(umamusume) 5.0k	
